day,CHINA FEIHE LTD,ASSOC BRIT FOODS,ANHEUSER-BUSCH I,KONINKLIJKE AHOL,AIR FRANCE-KLM,AIR LIQUIDE SA,ALSTOM,ALTEN,ATOS SE,BEIERSDORF AG,DANONE,BUNZL PLC,BOOHOO GROUP PLC,BUREAU VERITAS S,LYX CAC 40,CAPGEMINI SE,CARLSBERG-B,CIE FINANCI-REG,COMPASS GROUP,DEUTSCHE BOERSE,DIAGEO PLC,DEUTSCHE POST-RG,DASSAULT SYSTEME,DWS GROUP GMBH &,ESSILORLUXOTTICA,ELIS SA,EURONEXT NV,FIAT CHRYSLER AU,EIFFAGE,GIVAUDAN-REG,HEINEKEN NV,HENKEL AG -PFD,HELLOFRESH SE,THALES SA,INTERTEK GROUP,INDITEX,JERONIMO MARTINS,KERING,KINGFISHER PLC,L'OREAL,PARTNERS GROUP J,PANDORA A/S,PSP SWISS PR-REG,RECKITT BENCKISE,REMY COINTREAU,RELX PLC,PERNOD RICARD SA,SOLUTIONS 30 SE,SEGRO PLC,SGS SA-REG,SEB SA,SWISS PRIME -REG,SCHNEIDER ELECTR,SYMRISE AG,TESCO PLC,PEUGEOT SA,UNILEVER PLC,VIVENDI,VONOVIA SE,WOLTERS KLUWER,WHITBREAD PLC,ZALANDO SE
18-sept.,0,0,0,0,0,1.5,0,0,0,0,0.6,0,9.7,4.1,0,0.2,0,1.6,0,0,0,0,0,1.5,1,0,0,8.3,0,0,0,0,0,2.8,0.1,0,1.5,0,0,0,0,9.3,2.1,0,0,0,14.6,0,0.2,0,0,0.5,5.1,0,0,11.4,2.1,0,1.5,0,0,0
22-sept.,0,0,0,0,0,4.5,0,5.5,0,0,0,0,8.1,4.1,0,0,0,0,3.6,0,0,0,0,5.7,0,0,0,6.8,0,0,0,0,0,0,0.5,0,0,0,0,0,0,7.7,2.6,0,0.1,0,16.6,0,0,0,0,0.4,0,0,0,8.5,3,0,0.4,0,0,0
23-sept.,0,0,0,0,0,3.8,0,0,0,0,0,0,10.7,4.1,0,0,0,0.1,0,0,0,0,0,6.5,0,0,0,8.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,8.8,3,0,0.3,0,16.4,0,0,0,0,0.2,1.5,0,0,12,2.1,0,0.2,0,0,0
24-sept.,0,0,0,0,0,4.9,0,0,0,0,0,0,10.9,4.1,0,0,0,0,4.1,0,0,0,0,6.4,0,0,0,8.2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,5.8,2,0,0.5,0.1,16.9,0,0,0,0,0.3,2.1,0,0,10.9,3.6,0,0.3,0,0,0
28-sept.,0,0,0,0,0,3.5,0,0,0,0,0,0,23.4,4.1,0,0,0,0.5,0,0,0,0,0,4.5,4.6,0,0,10.8,0,0,0,0,0,0,0.1,0,0.4,0,0,0,0,7.6,1.1,0,0.6,0,16.1,0,0.1,0,0.3,0.4,6.8,0,0,16.1,0,0,0.3,0,0,0
30-sept.,0,0,0.5,0,0,4.9,0,0,0,0,0,0,23,4.1,0,0,0,0.1,7.6,0,0,0,0,4.6,8.1,0,0,9.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,6.1,2.1,0,0.8,0,16,0,0,0,0,0.2,5.8,0,0,11.5,0,0,0.5,0,0,0
1-oct.,0,0,0.8,0,0,5.3,0,0,0,0,0,0,18.9,4.1,0,0,0,0.4,9.3,0,0,0,0,4.2,6.8,0,0,8.3,0,0,0,0,0,0,0.1,0,1.3,0,0,0,0,10.8,2.2,0,0.8,0,16.4,0,0.1,0,0,0.2,6.3,0,0,9.2,0,0.1,0.9,0,0,0
5-oct.,0,0,0,0,0,6.5,0,0,0,0,0,0,18.4,4.1,0,0,0.1,0.5,5.8,0,0,0,0,5.2,12,0,0,9.3,0,0,0,0,0,0.6,0,0,2,0,0,0,0,12.3,2.3,0,0.7,0,15.8,0,0.2,0,0,0.2,8,0,0,12.3,0,0,0.8,0,0,0
6-oct.,0,0,0,0,0,7.4,0,0,0,0,0,0,13.7,4.1,0,0,0.1,0.2,0,0,0,0,0,3.8,13.1,0.9,0,11.1,0,0,0,0,0,5.8,0.4,0,3.2,0,0,0,0,13.6,2.3,0,0.5,0,16.7,0,0.2,0,2.4,0.3,7.4,0.6,0,15.1,0,0,0.6,0,0,0
7-oct.,0,0,0,0.4,0,7.1,0,0,0,0,0,0,14.6,4.1,0,0,0,0.4,0,0,0,0,0,4,15.9,0.4,0,11.4,0,0,0,0,0,1,0.6,0,1.8,0,2.3,0,0,12.3,3,0,0.6,0.1,16.4,0,0,0,2.8,0.1,8.3,0,0,15.1,0,0,0.5,0,0,0
